,,
State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
04,000,Mesa city
04,000,Miami town
04,000,Nogales city
04,000,Oro Valley town
04,000,Page city
04,000,Paradise Valley town
04,000,Parker town
04,000,Patagonia town
04,000,Payson town
04,000,Peoria city
04,000,Phoenix city
04,000,Pima town
04,000,Pinetop-Lakeside town
04,000,Prescott city
04,000,Prescott Valley town
04,000,Quartzsite town
04,000,Queen Creek town
04,000,Safford city
04,000,Sahuarita town
04,000,St. Johns city
04,000,San Luis city
04,000,Scottsdale city
04,000,Sedona city
04,000,Show Low city
04,000,Sierra Vista city
04,000,Snowflake town
04,000,Somerton city
04,000,South Tucson city
04,000,Springerville town
04,000,Star Valley town
04,000,Superior town
04,000,Surprise city
04,000,Taylor town
04,000,Tempe city
04,000,Thatcher town
04,000,Tolleson city
04,000,Tombstone city
04,000,Tucson city
04,000,Tusayan town
04,000,Wellton town
04,000,Wickenburg town
04,000,Willcox city
04,000,Williams city
04,000,Winkelman town
04,000,Winslow city
04,000,Youngtown town
04,000,Yuma city
05,000,Arkansas
05,001,Arkansas County
05,003,Ashley County
05,005,Baxter County
05,007,Benton County
05,009,Boone County
05,011,Bradley County
05,013,Calhoun County
05,015,Carroll County
05,017,Chicot County
05,019,Clark County
05,021,Clay County
05,023,Cleburne County
05,025,Cleveland County
05,027,Columbia County
05,029,Conway County
05,031,Craighead County
05,033,Crawford County
05,035,Crittenden County
05,037,Cross County
05,039,Dallas County
05,041,Desha County
05,043,Drew County
05,045,Faulkner County
05,047,Franklin County
05,049,Fulton County
05,051,Garland County
05,053,Grant County
05,055,Greene County
05,057,Hempstead County
05,059,Hot Spring County
05,061,Howard County
05,063,Independence County
05,065,Izard County
05,067,Jackson County
05,069,Jefferson County
05,071,Johnson County
05,073,Lafayette County
05,075,Lawrence County
05,077,Lee County
05,079,Lincoln County
05,081,Little River County
05,083,Logan County
05,085,Lonoke County
05,087,Madison County
05,089,Marion County
05,091,Miller County
05,093,Mississippi County
05,095,Monroe County
05,097,Montgomery County
05,099,Nevada County
05,101,Newton County
05,103,Ouachita County
05,105,Perry County
05,107,Phillips County
05,109,Pike County
05,111,Poinsett County
05,113,Polk County
05,115,Pope County
05,117,Prairie County
05,119,Pulaski County
05,121,Randolph County
05,123,St. Francis County
05,125,Saline County
05,127,Scott County
05,129,Searcy County
05,131,Sebastian County
05,133,Sevier County
05,135,Sharp County
05,137,Stone County
05,139,Union County
05,141,Van Buren County
05,143,Washington County
05,145,White County
05,147,Woodruff County
05,149,Yell County
05,000,Adona city
05,000,Alexander city
05,000,Alicia town
05,000,Allport town
05,000,Alma city
05,000,Almyra town
05,000,Alpena town
05,000,Altheimer city
05,000,Altus city
05,000,Amagon town
05,000,Amity city
05,000,Anthonyville town
05,000,Antoine town
05,000,Arkadelphia city
05,000,Arkansas City city
05,000,Ashdown city
05,000,Ash Flat city
05,000,Atkins city
05,000,Aubrey town
05,000,Augusta city
05,000,Austin city
05,000,Avoca town
05,000,Bald Knob city
05,000,Banks town
05,000,Barling city
05,000,Bassett town
05,000,Batesville city
05,000,Bauxite town
05,000,Bay city
05,000,Bearden city
05,000,Beaver town
05,000,Beebe city
05,000,Beedeville town
05,000,Bella Vista city
05,000,Bellefonte town
05,000,Belleville city
